event_id,event_candidate_id,event_type,subject_id,object_id,start_time_raw,end_time_raw,start_time_norm,end_time_norm,location_id,time_text,source_name,statement_id,predicate,roles_json,confidence,raw_payload_json
13a76a6840c4f803d98fab147da6c075e10306fe,13a76a6840c4f803d98fab147da6c075e10306fe,PublicationEvent,Q7251,Q20895966,,,,,,,wikidata_sparql,http://www.wikidata.org/entity/statement/Q20895966-3e9f26ba-4dc6-484c-081b-f588f0a5bd42,AUTHORED,"[{""entity_id"": ""Q7251"", ""entity_type"": ""PERSON"", ""role"": ""author""}, {""entity_id"": ""Q20895966"", ""entity_type"": ""WORK"", ""role"": ""work""}]",0.95,"{""claim_id"": ""0d9602befdfc929676eba6e2933ff388c6e76aea"", ""qualifiers"": {}, ""source_predicate"": ""AUTHORED""}"
02312e2f5243659ab53e68d8ff421eddd405e153,02312e2f5243659ab53e68d8ff421eddd405e153,PublicationEvent,Q7251,Q7854954,1936-11-01T00:00:00Z,,1936-11-01,,,1936-11-01T00:00:00Z,wikidata_sparql,http://www.wikidata.org/entity/statement/Q7854954-dd6cc777-4b89-8c1b-410e-8cd480b421ef,AUTHORED,"[{""entity_id"": ""Q7251"", ""entity_type"": ""PERSON"", ""role"": ""author""}, {""entity_id"": ""Q7854954"", ""entity_type"": ""WORK"", ""role"": ""work""}]",0.95,"{""claim_id"": ""23613666e6b5a6567c077da1e36320edcd6ea78e"", ""qualifiers"": {""publication_date"": ""1936-11-01T00:00:00Z""}, ""source_predicate"": ""AUTHORED""}"
a3a5c29adddf0f5038d69edbdbca9d7643c5e3f1,a3a5c29adddf0f5038d69edbdbca9d7643c5e3f1,HonorEvent,Q7251,Q15631401,1951-01-01T00:00:00Z,,1951-01-01,,,1951-01-01T00:00:00Z,wikidata_sparql,http://www.wikidata.org/entity/statement/Q7251-6238E743-DF83-4802-B652-6C2CFAC9B62B,AWARDED,"[{""entity_id"": ""Q7251"", ""entity_type"": ""PERSON"", ""role"": ""recipient""}, {""entity_id"": ""Q15631401"", ""entity_type"": ""AWARD"", ""role"": ""award""}]",0.95,"{""claim_id"": ""4ef9ebdc94c7236c1e558dfb47f8d63c027e38d9"", ""qualifiers"": {""point_in_time"": ""1951-01-01T00:00:00Z""}, ""source_predicate"": ""AWARDED""}"
ba90e8467fa8af5fd940399abc6644e1b63c792f,ba90e8467fa8af5fd940399abc6644e1b63c792f,HonorEvent,Q7251,Q1690167,1936-01-01T00:00:00Z,,1936-01-01,,,1936-01-01T00:00:00Z,wikidata_sparql,http://www.wikidata.org/entity/statement/Q7251-d3091885-4d75-8356-5205-de9a7986217a,AWARDED,"[{""entity_id"": ""Q7251"", ""entity_type"": ""PERSON"", ""role"": ""recipient""}, {""entity_id"": ""Q1690167"", ""entity_type"": ""AWARD"", ""role"": ""award""}]",0.95,"{""claim_id"": ""7b9639fb5a9505bb79aded1f6a166b935dada1fa"", ""qualifiers"": {""point_in_time"": ""1936-01-01T00:00:00Z""}, ""source_predicate"": ""AWARDED""}"
82cbb884381cab33aac03082660eb5092af22ab2,82cbb884381cab33aac03082660eb5092af22ab2,HonorEvent,Q7251,Q14420,,,,,,,wikidata_sparql,http://www.wikidata.org/entity/statement/Q7251-65d79513-4759-842b-5551-2a105445fcfe,AWARDED,"[{""entity_id"": ""Q7251"", ""entity_type"": ""PERSON"", ""role"": ""recipient""}, {""entity_id"": ""Q14420"", ""entity_type"": ""AWARD"", ""role"": ""award""}]",0.95,"{""claim_id"": ""87e7e5bb6139aeb8b4eedba68450d91402603ec0"", ""qualifiers"": {}, ""source_predicate"": ""AWARDED""}"
c7bea787ad5448520499863371dbc6967628dbc6,c7bea787ad5448520499863371dbc6967628dbc6,HonorEvent,Q7251,Q10762848,1946-06-24T00:00:00Z,,1946-06-24,,,1946-06-24T00:00:00Z,wikidata_sparql,http://www.wikidata.org/entity/statement/Q7251-9C81DED7-BF07-4214-90DD-B380F821186E,AWARDED,"[{""entity_id"": ""Q7251"", ""entity_type"": ""PERSON"", ""role"": ""recipient""}, {""entity_id"": ""Q10762848"", ""entity_type"": ""AWARD"", ""role"": ""award""}]",0.95,"{""claim_id"": ""9415858c2b90e5ce7f5bc5a6765b96be5137945c"", ""qualifiers"": {""point_in_time"": ""1946-06-24T00:00:00Z""}, ""source_predicate"": ""AWARDED""}"
2a05c44046c0ff3b9725dd8f1399763132f78538,2a05c44046c0ff3b9725dd8f1399763132f78538,BirthEvent,Q7251,Q122744,1912-06-23T00:00:00Z,,1912-06-23,,Q122744,1912-06-23T00:00:00Z,wikidata_sparql,http://www.wikidata.org/entity/statement/q7251-BF793CC4-377D-4FC6-9B3A-BEE1641EE241,BORN_IN,"[{""entity_id"": ""Q7251"", ""entity_type"": ""PERSON"", ""role"": ""person""}, {""entity_id"": ""Q122744"", ""entity_type"": ""PLACE"", ""role"": ""birth_place""}]",0.95,"{""claim_id"": ""31b45b8f90eaa1fe3cf116f03903a17bd858fd4e"", ""qualifiers"": {}, ""source_predicate"": ""BORN_IN""}"
1e9b58834e7b16a92a35ece0040ea5fba8b5646a,1e9b58834e7b16a92a35ece0040ea5fba8b5646a,BirthEvent,Q7251,Q20895942,1912-06-23T00:00:00Z,,1912-06-23,,Q20895942,1912-06-23T00:00:00Z,wikidata_sparql,http://www.wikidata.org/entity/statement/Q7251-d608d2c8-4e9b-4ac9-25f2-749985a80fea,BORN_IN,"[{""entity_id"": ""Q7251"", ""entity_type"": ""PERSON"", ""role"": ""person""}, {""entity_id"": ""Q20895942"", ""entity_type"": ""PLACE"", ""role"": ""birth_place""}]",0.95,"{""claim_id"": ""c6acd89f3dbae50014240a7e6ff9e1eb06280eee"", ""qualifiers"": {}, ""source_predicate"": ""BORN_IN""}"
f39ef217cb68fe49a2e99bc130f5e35a3a548bc6,f39ef217cb68fe49a2e99bc130f5e35a3a548bc6,DeathEvent,Q7251,Q2011497,1954-06-07T00:00:00Z,,1954-06-07,,Q2011497,1954-06-07T00:00:00Z,wikidata_sparql,http://www.wikidata.org/entity/statement/q7251-2084C480-4906-44BA-91E9-D35409E7ED37,DIED_IN,"[{""entity_id"": ""Q7251"", ""entity_type"": ""PERSON"", ""role"": ""person""}, {""entity_id"": ""Q2011497"", ""entity_type"": ""PLACE"", ""role"": ""death_place""}]",0.95,"{""claim_id"": ""0bdd75b9a8abb737898186fb4da1ac8e7ef71aaf"", ""qualifiers"": {}, ""source_predicate"": ""DIED_IN""}"
695ff1f6577fbb828e601935aa3d5e7fd7ea70d1,695ff1f6577fbb828e601935aa3d5e7fd7ea70d1,DesignEvent,Q7251,Q163310,,,,,,,wikidata_sparql,http://www.wikidata.org/entity/statement/Q163310-00ceb525-438c-68ba-8e73-e47895ff6122,DESIGNED,"[{""entity_id"": ""Q7251"", ""entity_type"": ""PERSON"", ""role"": ""designer""}, {""entity_id"": ""Q163310"", ""entity_type"": ""MACHINE"", ""role"": ""machine""}]",0.95,"{""claim_id"": ""1e4afddd0f36f3aaf591302e5d5d2e0115b17746"", ""qualifiers"": {}, ""source_predicate"": ""PROPOSED""}"
485e7b42f082b3f9bfe9914a4f7c26cbe263d84f,485e7b42f082b3f9bfe9914a4f7c26cbe263d84f,DesignEvent,Q7251,Q480476,,,,,,,wikidata_sparql,http://www.wikidata.org/entity/statement/Q480476-e1a8dc88-4065-9fa2-f9cb-c4016356f27f,DESIGNED,"[{""entity_id"": ""Q7251"", ""entity_type"": ""PERSON"", ""role"": ""designer""}, {""entity_id"": ""Q480476"", ""entity_type"": ""MACHINE"", ""role"": ""machine""}]",0.95,"{""claim_id"": ""2fe9206f486d9a0ef83b041831d14d85bdaf91b9"", ""qualifiers"": {}, ""source_predicate"": ""PROPOSED""}"
b80211a4d499adc9bcfb5f49462bc4e4bd4bd447,b80211a4d499adc9bcfb5f49462bc4e4bd4bd447,ProposalEvent,Q7251,Q39086154,,,,,,,wikidata_sparql,http://www.wikidata.org/entity/statement/Q39086154-9f610fea-48d3-d7f0-3ea1-c845960c8663,PROPOSED,"[{""entity_id"": ""Q7251"", ""entity_type"": ""PERSON"", ""role"": ""proposer""}, {""entity_id"": ""Q39086154"", ""entity_type"": ""CONCEPT"", ""role"": ""concept""}]",0.95,"{""claim_id"": ""4eaead0ec3ecd67f8da851742a665bdcb3a8fb1e"", ""qualifiers"": {}, ""source_predicate"": ""PROPOSED""}"
e70528b78ffc68ae3a846d516788d7f435aedcaf,e70528b78ffc68ae3a846d516788d7f435aedcaf,ProposalEvent,Q7251,Q5583769,,,,,,,wikidata_sparql,http://www.wikidata.org/entity/statement/Q5583769-51860157-4e65-a155-e6af-4502aaf54080,PROPOSED,"[{""entity_id"": ""Q7251"", ""entity_type"": ""PERSON"", ""role"": ""proposer""}, {""entity_id"": ""Q5583769"", ""entity_type"": ""CONCEPT"", ""role"": ""concept""}]",0.95,"{""claim_id"": ""5aa88bd2a160a61772e7075cd08bc03e8c86f580"", ""qualifiers"": {}, ""source_predicate"": ""PROPOSED""}"
a449a2c2651db20dadc33f9a74b0bd9422ed138b,a449a2c2651db20dadc33f9a74b0bd9422ed138b,ProposalEvent,Q7251,Q133854517,,,,,,,wikidata_sparql,http://www.wikidata.org/entity/statement/Q133854517-b445813d-4cac-2ce9-c92c-4e47f12cf915,PROPOSED,"[{""entity_id"": ""Q7251"", ""entity_type"": ""PERSON"", ""role"": ""proposer""}, {""entity_id"": ""Q133854517"", ""entity_type"": ""CONCEPT"", ""role"": ""concept""}]",0.95,"{""claim_id"": ""5b31b9527ffd0018fa978c8a2fce152c394f8c8b"", ""qualifiers"": {}, ""source_predicate"": ""PROPOSED""}"
9afba5d1054d30c0b5c6311091a901309b24ec0a,9afba5d1054d30c0b5c6311091a901309b24ec0a,ProposalEvent,Q7251,Q189223,,,,,,,wikidata_sparql,http://www.wikidata.org/entity/statement/Q189223-d032a4be-49aa-7d8f-f725-3fdf028d3697,PROPOSED,"[{""entity_id"": ""Q7251"", ""entity_type"": ""PERSON"", ""role"": ""proposer""}, {""entity_id"": ""Q189223"", ""entity_type"": ""CONCEPT"", ""role"": ""concept""}]",0.95,"{""claim_id"": ""81cb6c20df4f0b91c4059b285367667a679e8c37"", ""qualifiers"": {}, ""source_predicate"": ""PROPOSED""}"
1d571ae7716ccdf8b90543c0b11670a99a4ecfd3,1d571ae7716ccdf8b90543c0b11670a99a4ecfd3,DesignEvent,Q7251,Q4428206,,,,,,,wikidata_sparql,http://www.wikidata.org/entity/statement/Q4428206-ad0fea1c-48a8-92d8-84a0-2f06930f48c3,DESIGNED,"[{""entity_id"": ""Q7251"", ""entity_type"": ""PERSON"", ""role"": ""designer""}, {""entity_id"": ""Q4428206"", ""entity_type"": ""MACHINE"", ""role"": ""machine""}]",0.95,"{""claim_id"": ""d6f0e0c262fba2c91d60402459923310773d8bf1"", ""qualifiers"": {}, ""source_predicate"": ""PROPOSED""}"
